Buenbit	2022-12-31	INTERESES			DAI	0.24799
Buenbit	2022-01-10	COMPRA	BTC	0.0111929	ARS	-99907.82	
Buenbit	2022-01-10	DEPOSITO			ARS	100000	Patagonia 160
Buenbit	2021-10-21	RETIRO			ARS	-271682.56	HSBC AR
Buenbit	2021-10-21	INTERESES			DAI	2.55713	
Buenbit	2021-10-20	VENTA	BTC	-0.022752	ARS	271681.63	
Buenbit	2021-10-15	RETIRO			ARS	-252965.92	Brubank
Buenbit	2021-10-15	VENTA	DAI	-1377.06	DAI	252965.92	
Buenbit	2021-10-13	VENTA	DAI	1377.05647	BTC	-0.0236837	
Buenbit	2021-06-30	COMISION			ARS	-125.05	
Buenbit	2021-06-30	INTERESES			DAI	0.48841	
Buenbit	2021-06-25	RETIRO			ARS	-378459	Patagonia 160
Buenbit	2021-06-25	VENTA	DAI	-2260	ARS	378098	
Buenbit	2021-06-25	RETIRO			ARS	-180000	Patagonia 160
Buenbit	2021-06-24	TRANSFER	DAI	1995	ARS	1995	Satoshi
Buenbit	2021-06-24	RETIRO			ARS	-500000	Patagonia 160
Buenbit	2021-06-24	VENTA	DAI	-4000	ARS	667200	
Buenbit	2021-06-24	INTERESES			DAI	212.82	
Buenbit	2021-05-13	RETIRO			ARS	-200000	Patagonia 160
Buenbit	2021-05-12	COMPRA	BTC	0.0236837	ARS	-199852.53	
Buenbit	2021-05-03	VENTA	BTC	-0.0100895	ARS	91737.76	
Buenbit	2021-04-30	VENTA	BTC	-0.0127328	ARS	111788.89	
Buenbit	2021-04-27	VENTA	BTC	-0.0127328	ARS	108759.75	
Buenbit	2021-04-23	COMPRA	BTC	0.0127328	ARS	-99999.59	
Buenbit	2021-04-22	COMPRA	BTC	0.0123557	ARS	-100160.24	
Buenbit	2021-04-19	COMPRA	BTC	0.0104666	ARS	-89830.64	
Buenbit	2021-04-18	COMPRA	BTC	0.022752	ARS	-199762.56	
Buenbit	2021-04-14	DEPOSITO			ARS	200000	Patagonia 160
Buenbit	2021-04-09	DEPOSITO			ARS	200000	Patagonia 160
Buenbit	2021-04-10	VENTA	BTC	-0.01	ARS	87708	
Buenbit	2021-03-29	VENTA	BTC	-0.0062023	ARS	52250.65	
Buenbit	2021-03-26	COMPRA	BTC	0.0062023	ARS	-48999.41	
Buenbit	2021-03-15	COMPRA	BTC	0.01	ARS	-82962	
Buenbit	2021-03-14	VENTA	BTC	-0.0117996	ARS	103109.62	
Buenbit	2021-03-10	VENTA	BTC	-0.0093706	ARS	78283.86	
Buenbit	2021-02-23	COMPRA	BTC	0.0093706	ARS	-70401.32	
Buenbit	2021-02-22	COMPRA	BTC	0.0117996	ARS	-100255.3	
Buenbit	2021-02-18	VENTA	BTC	-0.0147136	ARS	115940.23	
Buenbit	2021-02-08	VENTA	BTC	-0.0080427	ARS	55777.73	
Buenbit	2021-01-10	COMPRA	DAI	163.4	ARS	-28062.61	
Buenbit	2021-01-10	COMPRA	BTC	0.0080427	ARS	-50040.88	
Buenbit	2021-01-10	DEPOSITO			ARS	50000	Patagonia 160
Buenbit	2021-01-10	COMPRA	BTC	0.0147136	ARS	-100005.4	
Buenbit	2021-01-08	VENTA	BTC	-0.0193741	ARS	128235.23	
Buenbit	2021-01-07	COMPRA	BTC	0.0193741	ARS	-120340.28	
Buenbit	2021-01-07	VENTA	BTC	-0.0193118	ARS	120179.26	
Buenbit	2021-01-02	COMPRA	BTC	0.0193118	ARS	-103999.84	
Buenbit	2020-12-16	VENTA	BTC	-0.0174655	ARS	51479.56	
Buenbit	2020-12-16	VENTA	BTC	-0.0178911	ARS	52637.41	
