02/05/2022 SUSCRIPCION 1,08965500 5663 6.170,72 u$s
05/04/2022 SUSCRIPCION 1,09321300 474 518,18 u$s
03/02/2022 SUSCRIPCION 1,09200000 602 657,38 u$s
05/01/2022 SUSCRIPCION 1,09118400 971 1.059,54 u$s
26/10/2021 RESCATE 1,08906400 56066 61.059,46 u$s
22/09/2021 SUSCRIPCION 1,08835400 14195 15.449,19 u$s
07/09/2021 SUSCRIPCION 1,08784900 4596 4.999,75 u$s
20/08/2021 SUSCRIPCION 1,08721300 478 519,69 u$s
23/07/2021 SUSCRIPCION 1,08616400 5929 6.439,87 u$s
16/07/2021 SUSCRIPCION 1,08602900 4603 4.998,99 u$s
05/07/2021 SUSCRIPCION 1,08564000 11920 12.940,83 u$s
16/06/2021 SUSCRIPCION 1,08509800 4607 4.999,05 u$s
06/01/2021 SUSCRIPCION 1,08015500 9738 10.518,55 u$s
16/12/2020 RESCATE 1,07938400 9327 10.067,41 u$s
21/05/2020 SUSCRIPCION 1,07310800 4659 4.999,61 u$s
13/04/2020 SUSCRIPCION 1,07165600 3732 3.999,42 u$s
06/01/2020 SUSCRIPCION 1,06772600 936 999,39 u$s
27/12/2019 RESCATE 1,06748600 915 976,75 u$s
08/05/2019 SUSCRIPCION 1,04936100 952 998,99 u$s
